select concat(event_exp1, event_exp2), event_id, event_type_id
 from dw.dim_event
 where event_id > 0
 and terminal_lvl1_id = 2
 and del_flag = 0
 order by event_id


 	_c0	event_id	event_type_id
1	click_home_banner	120	0
2	click_fit_out	187	0
3	click_information_pat	189	0
4	click_information_name	192	0
5	click_information_mail	194	0
6	click_code_confirm	195	0
7	click_goods_collection	203	3
8	click_goods_tb	206	0
9	click_goods_left	207	0
10	click_goods_right	208	0
11	click_check_button	212	0
12	click_ad_slidingin	226	0
13	click_navigationpiall	229	4
14	click_navigationpifushi	230	4
15	click_navigationpimuying	231	4
16	click_navigationpijujia	232	4
17	click_navigationpiqita	233	4
18	click_navigationjiuall	234	4
19	click_navigationjiufushi	235	4
20	click_navigationjiujujia	236	4
21	click_navigationjiumuying	237	4
22	click_navigationjiumeizhuang	238	4
23	click_navigationjiumeishi	239	4
24	click_navigationjiuxiebao	240	4
25	click_navigationjiushuma	241	4
26	click_navigationjiuwenti	242	4
27	click_fit_infoon	243	0
28	click_fit_infooff	244	0
29	click_fit_checkin	245	0
30	click_fit_checkout	246	0
31	click_home_shoppingbag	250	0
32	click_temai_shoppingbag_settle	252	0
33	click_temai_shoppingbag_del	253	-1
34	click_temai_shoppingbagempty_buy	254	0
35	click_temai_shoppingbagempty_rejoin	255	1
36	click_temai_shoppingbagempty_del	256	0
37	click_temai_inpage_cancelcollect	260	-3
38	click_temai_conpage_gotopay	261	2
39	click_temai_coupon_activation	262	0
40	click_temai_coupon_act	263	0
41	click_temai_failpay_repay	264	200
42	click_temai_sucpay_stroll	265	0
43	click_temai_orderlist_blankbuying	266	0
44	click_temai_orderlist_receipt	267	0
45	click_temai_orderlist_pay	268	2
46	click_temai_orderdetails_pay	269	2
47	click_temai_orderdetails_cancel	270	-2
48	click_temai_orderdetails_receipt	271	0
49	click_temai_orderdetails_canorder	272	-2
50	click_temai_orderdetails_complex	273	0
51	click_temai_orderdetails_delorder	274	-2
52	click_temai_inpage_skuconfirm	276	1
53	click_temai_shoppingbag_rejoin	277	1
54	click_temai_inpage_joinbag	279	1
55	click_set_binding	280	0
56	click_set_create	281	0
57	click_set_complete	282	0
58	click_set_skip	283	0
59	click_binding_go	284	0
60	click_ad_inscreen	287	0
61	click_ad_rightcorner	288	0
62	click_navigation	308	4
63	click_temai_returngoods	309	0
64	click_goods_cancel	311	-3
65	click_navigation_search	312	0
66	click_temai_detpage_return	316	0
67	click_search_button	319	6
68	click_temai_shoppingbag_reduction	323	0
69	click_temai_inpage_settle	324	0
70	click_openpopup_cancel	325	0
71	click_openpopup_confirm	326	0
72	click_closepopup_confirm	328	0
73	click_popup_skip	329	0
74	click_popup_open	330	0
75	click_temai_shoppingbag_taobao	331	0
76	click_temai_orderlist_taobao	332	0
77	click_ad_popup	333	0
78	click_rightcorner	334	0
79	click_changetab	335	0
80	click_returngoods_remind2	336	0
81	click_returngoods_remind1	337	0
82	click_popup_gotoappstore	338	0
83	click_popup_noappstore	339	0
84	click_cube	341	0
85	click_temai_inpage_shoppingbag	344	0
86	click_temai_shoppingbagempty_scan	345	0
87	click_temai_shoppingbagempty_today	346	0
88	click_temai_orderdetails_problem	347	0
89	click_ad_popup_sec	348	0
90	click_cube_banner	349	10
91	click_cube_goods	350	10
92	click_cube_ad_in_goods	351	10
93	click_cube_brand	352	10
94	click_center_reg	354	0
95	click_information_phone	355	0
96	click_login_forget	356	0
97	click_login_reg	357	0
98	click_temai_service	360	0
99	click_temai_sucpay_ad	363	0
100	click_temai_orderlist_follow	364	0
101	click_temai_orderdetails_follow	365	0
102	click_temai_orderdetails_judge	366	0
103	click_temai_orderlist_past	367	0
104	click_temai_orderlist_today	368	0
105	click_startdetails_collection_cancel	371	-3
106	click_startdetails_collection	372	3
107	click_yugaodetails_collection_cancel	373	0
108	click_yugaodetails_collection	374	0
109	click_brandyugao_collection_cancel	375	0
110	click_brandyugao_collection	376	0
111	click_goodsyugao_collection_cancel	377	0
112	click_goodsyugao_collection	378	0
113	click_ad_closepopup	379	0
114	click_ad_closepopup_sec	380	0
115	click_temai_shoppingbag_notice	382	0
116	click_temai_orderlist_notice	383	0
117	click_temai_orderlist_rebuy	384	0
118	click_temai_orderdetails_rebuy	385	0
119	click_temai_failpay_popup_confirm	386	0
120	click_temai_pay_goodslist	388	0
121	click_temai_pay_peerpay	389	0
122	click_temai_pay_unionpay	390	0
123	click_temai_pay_alipay	391	0
124	click_temai_pay_weixin	392	0
125	click_temai_pay_morepay	393	0
126	click_temai_orderdetails_peerpay	394	0
127	click_temai_orderdetails_unionpay	395	0
128	click_temai_orderdetails_alipay	396	0
129	click_temai_orderdetails_weixin	397	0
130	click_temai_orderdetails_morepay	398	0
131	click_temai_returngoods_example	399	0
132	click_temai_shoppingbag_cut	400	-1
133	click_temai_shoppingbag_add	401	1
134	click_peerpayapply_sendpeerpay	402	0
135	click_claimdetails_popup-servicephone	403	0
136	click_claimdetails_popup-serviceonline	404	0
137	click_claimdetails_service	405	0
138	click_reg_requet_verifycode	406	0
139	click_reg_nextstep1_btn	407	0
140	click_login_requet_verifycode	408	0
141	click_mobile_login_btn	409	0
142	click_account_login_btn	410	0
143	click_account_login_eyes	411	0
144	click_login_third_qq	412	0
145	click_login_third_weixin	413	0
146	click_login_third_weibo	414	0
147	click_login_third_taobao	415	0
148	click_findpwd_request_verify_code	416	0
149	click_findpwd_nextstep1_btn	417	0
150	click_temai_orderdetails_cancel_reason	418	0
151	click_temai_logisticsdetails_noreceipt	419	0
152	click_temai_logisticsdetails_noreceipt_consult	420	0
153	click_temai_returngoods_service	421	0
154	click_temai_returngoods_popup_service	422	0
155	click_menu	423	0
156	click_temai_remind_cancel	424	0
157	click_temai_remind_set	425	0
158	click_temai_remind	426	0
159	click_temai_logisticsdetails_scan_album	428	0
160	click_temai_logisticsdetails_scan	429	0
161	click_temai_returngoods_detailes	430	0
162	click_temai_center_notice	431	0
163	click_temai_sucpay_notice	432	0
164	click_cube_block	433	10
165	click_cube_ad_act	434	0
166	click_cube_today_goods	435	0
167	click_temai_remind_joinbag	436	0
168	click_temai_remind_miss	437	0
169	click_temai_discount_open	438	0
170	click_temai_discount_close	439	0
171	click_temai_discount_manjain	440	0
172	click_temai_coupons	441	0
173	click_temai_coupons_receive	442	0
174	click_sex_sub	443	0
175	click_sex_pass	444	0
176	click_unusual_verification_confirm	445	0
177	click_unusual_verification_cancel	446	0
178	click_cube_slide	447	0
179	click_temai_pintuan_join	448	0
180	click_temai_pintuan_view	449	0
181	click_temai_notice	450	0
182	click_branddetails_discount	451	0
183	click_branddetails_sort_stock	452	0
184	click_branddetails_sort_sales	453	0
185	click_branddetails_sort_price	454	0
186	click_branddetails_sort_multiple	455	0
187	click_branddetails_collection_cancel	456	-3
188	click_branddetails_collection	457	3
189	click_shoppingbag_gotopay	458	0
190	click_shoppingbag_goodslist	459	0
191	click_shoppingbag_pay	460	0
192	click_shoppingbag_address	461	0
193	click_shoppingbag_discount	462	0
194	click_temai_property	463	0
195	click_temai_goods_logistics	464	0
196	click_temai_imagetxtgoods	465	0
197	click_temai_history	466	0
198	click_temai_pulldown	467	0
199	click_category_sort_stock	468	0
200	click_category_sort_sales	469	0
201	click_category_sort_price	470	0
202	click_category_sort_multiple	471	0
203	click_temai_orderdetails_qa	472	0
204	click_temai_pay_express	473	0
205	click_temai_pay_deliverytime	474	0
206	click_temai_returngoods_evaluation	475	0
207	click_verification_webphone	476	0
208	click_verification_servicephone	477	0
209	click_verification_serviceonline	478	0
210	click_detail_recommendation	479	10
211	click_orderdetails_recommendation	480	10
212	click_shoppingbag_recommendation	481	10
213	click_yugao_recommendation	482	10
214	click_mall_exchangetab	483	0
215	click_mall_lotterytab	484	0
216	click_temai_banner	488	0
217	click_search_suggest	489	0
218	click_temai_pay_cmbchina	490	0
219	click_sampling_join	491	0
220	click_sampling_reject	492	0
221	click_collection_inpage	493	0
222	click_collection_popinpage	494	0
223	click_raffle_details	495	0
224	click_exchange_details	496	0
225	click_share	497	0
226	click_category_sorts	498	0
227	click_category	499	0
228	click_category_search	500	0
229	click_quickentry	502	0
230	click_quickentry_main	503	0
231	click_quickentry_favor	504	0
232	click_quickentry_order	505	0
233	click_branddetails_open	506	0
234	click_branddetails_coupon	507	0
235	click_search_sort_stock	508	0
236	click_search_sort_sales	509	0
237	click_search_sort_price	510	0
238	click_search_sort_multiple	511	0
239	click_temai_pay_wallet	512	0
240	click_use_coupon	513	0
241	click_choose_withdraw	514	0
242	click_choose_couponpackage	515	0
243	click_group_now	516	0
244	click_group_now_cancel	517	0
245	click_servicemanual	518	0
246	click_servicemanual_switch	519	0
247	click_serviceonline	520	0
248	click_service_tools	521	0
249	click_service_exit	522	0
250	click_detail_coupons_share	523	0
251	click_exchange_pay	524	0
252	click_exchange_pay_alipay	525	0
253	click_exchange_pay_weixin	526	0
254	click_share_wechat	527	0
255	click_share_discover	528	0
256	click_share_qqfriend	529	0
257	click_share_weibo	530	0
258	click_share_qzone	531	0
259	click_share_copy	532	0
260	click_temai_pay_applepay	533	0
261	click_temai_service_popup	534	0
262	click_push_notify	535	0
263	click_category_sub	536	0
264	click_temai_returngoods_type	537	0
265	click_temai_logisticsdetails_service	538	0
266	click_temai_logisticsdetails_press	539	0
267	click_temai_logisticsdetails_express	540	0
268	click_message_open	541	0
269	click_temai_pic	542	0
270	click_purchase_collection	543	0
271	click_purchase_collection_cancel	544	0
272	click_purchase_rule	545	0
273	click_temai_wdsh	546	0
274	click_cube_welt	547	0
275	click_cube_stick	548	0
276	click_cube_brand_goods	549	0
277	click_temai_sucpay_struggle	550	0
278	click_temai_sucpay_good	551	0
279	click_login_third_mi	552	0
280	click_login_passward	553	0
281	click_login_serviceonline	554	0
282	click_temai_retract	555	0
283	click_temai_popup	556	0
284	click_branddetails_back	557	0
285	click_servicemanual_answer	558	0
286	click_servicemanual_easyflow	559	0
287	click_servicemanual_flow	560	0
